model_name,model_family,company_creator,official_website,model_category,release_date,input_modalities,output_modalities,context_window,open_weights_status,license,huggingface_url,github_url,logo_url,description,quality_score
xlm-roberta-base,xlm,FacebookAI,https://huggingface.co/FacebookAI/xlm-roberta-base,fill-mask,2022-03-02,text,text,,Open-weight,,https://huggingface.co/FacebookAI/xlm-roberta-base,,,"xlm-roberta-base is a high-performance open-weight AI model developed by FacebookAI, optimized for fill-mask applications and production workflows.",80
clip-vit-base-patch32,clip,openai,https://huggingface.co/openai/clip-vit-base-patch32,zero-shot-image-classification,2022-03-02,text,text,,Open-weight,,https://huggingface.co/openai/clip-vit-base-patch32,,,"clip-vit-base-patch32 is a high-performance open-weight AI model developed by openai, optimized for zero-shot-image-classification applications and production workflows.",80
Qwen3-0.6B,Qwen3,Qwen,https://huggingface.co/Qwen/Qwen3-0.6B,text-generation,2025-04-27,text,text,,Open-weight,,https://huggingface.co/Qwen/Qwen3-0.6B,,,"Qwen3-0.6B is a high-performance open-weight AI model developed by Qwen, optimized for text-generation applications and production workflows.",80
MiniMax-H3,MiniMax,Comfy-Org,https://huggingface.co/Comfy-Org/MiniMax-H3,General ML,2026-07-30,text,text,,Open-weight,,https://huggingface.co/Comfy-Org/MiniMax-H3,,,"MiniMax-H3 is a high-performance open-weight AI model developed by Comfy-Org, optimized for General ML applications and production workflows.",80
bge-reranker-v2-m3,bge,BAAI,https://huggingface.co/BAAI/bge-reranker-v2-m3,text-classification,2024-03-15,text,text,,Open-weight,,https://huggingface.co/BAAI/bge-reranker-v2-m3,,,"bge-reranker-v2-m3 is a high-performance open-weight AI model developed by BAAI, optimized for text-classification applications and production workflows.",80
mobilenetv3_small_100.lamb_in1k,mobilenetv3_small_100.lamb_in1k,timm,https://huggingface.co/timm/mobilenetv3_small_100.lamb_in1k,image-classification,2022-12-16,text,text,,Open-weight,,https://huggingface.co/timm/mobilenetv3_small_100.lamb_in1k,,,"mobilenetv3_small_100.lamb_in1k is a high-performance open-weight AI model developed by timm, optimized for image-classification applications and production workflows.",80
Qwen3-VL-8B-Instruct,Qwen3,Qwen,https://huggingface.co/Qwen/Qwen3-VL-8B-Instruct,image-text-to-text,2025-10-11,text,text,,Open-weight,,https://huggingface.co/Qwen/Qwen3-VL-8B-Instruct,,,"Qwen3-VL-8B-Instruct is a high-performance open-weight AI model developed by Qwen, optimized for image-text-to-text applications and production workflows.",80
tiny-Qwen2ForCausalLM-2.5,tiny,trl-internal-testing,https://huggingface.co/trl-internal-testing/tiny-Qwen2ForCausalLM-2.5,text-generation,2024-11-25,text,text,,Open-weight,,https://huggingface.co/trl-internal-testing/tiny-Qwen2ForCausalLM-2.5,,,"tiny-Qwen2ForCausalLM-2.5 is a high-performance open-weight AI model developed by trl-internal-testing, optimized for text-generation applications and production workflows.",80
stable-diffusion-v1-5-archive,stable,Comfy-Org,https://huggingface.co/Comfy-Org/stable-diffusion-v1-5-archive,General ML,2024-08-29,text,text,,Open-weight,,https://huggingface.co/Comfy-Org/stable-diffusion-v1-5-archive,,,"stable-diffusion-v1-5-archive is a high-performance open-weight AI model developed by Comfy-Org, optimized for General ML applications and production workflows.",80
wav2vec2-large-xlsr-53-japanese,wav2vec2,jonatasgrosman,https://huggingface.co/jonatasgrosman/wav2vec2-large-xlsr-53-japanese,automatic-speech-recognition,2022-03-02,text,text,,Open-weight,,https://huggingface.co/jonatasgrosman/wav2vec2-large-xlsr-53-japanese,,,"wav2vec2-large-xlsr-53-japanese is a high-performance open-weight AI model developed by jonatasgrosman, optimized for automatic-speech-recognition applications and production workflows.",80
nomic-embed-text-v1.5,nomic,nomic-ai,https://huggingface.co/nomic-ai/nomic-embed-text-v1.5,sentence-similarity,2024-02-10,text,text,,Open-weight,,https://huggingface.co/nomic-ai/nomic-embed-text-v1.5,,,"nomic-embed-text-v1.5 is a high-performance open-weight AI model developed by nomic-ai, optimized for sentence-similarity applications and production workflows.",80
gpt2,gpt2,openai-community,https://huggingface.co/openai-community/gpt2,text-generation,2022-03-02,text,text,,Open-weight,,https://huggingface.co/openai-community/gpt2,,,"gpt2 is a high-performance open-weight AI model developed by openai-community, optimized for text-generation applications and production workflows.",80
Qwen3-8B,Qwen3,Qwen,https://huggingface.co/Qwen/Qwen3-8B,text-generation,2025-04-27,text,text,,Open-weight,,https://huggingface.co/Qwen/Qwen3-8B,,,"Qwen3-8B is a high-performance open-weight AI model developed by Qwen, optimized for text-generation applications and production workflows.",80
bge-large-en-v1.5,bge,BAAI,https://huggingface.co/BAAI/bge-large-en-v1.5,feature-extraction,2023-09-12,text,text,,Open-weight,,https://huggingface.co/BAAI/bge-large-en-v1.5,,,"bge-large-en-v1.5 is a high-performance open-weight AI model developed by BAAI, optimized for feature-extraction applications and production workflows.",80
efficientnet_b3.ra2_in1k,efficientnet_b3.ra2_in1k,timm,https://huggingface.co/timm/efficientnet_b3.ra2_in1k,image-classification,2022-12-12,text,text,,Open-weight,,https://huggingface.co/timm/efficientnet_b3.ra2_in1k,,,"efficientnet_b3.ra2_in1k is a high-performance open-weight AI model developed by timm, optimized for image-classification applications and production workflows.",80
multilingual-e5-small,multilingual,intfloat,https://huggingface.co/intfloat/multilingual-e5-small,sentence-similarity,2023-06-30,text,text,,Open-weight,,https://huggingface.co/intfloat/multilingual-e5-small,,,"multilingual-e5-small is a high-performance open-weight AI model developed by intfloat, optimized for sentence-similarity applications and production workflows.",80
Kokoro-82M,Kokoro,hexgrad,https://huggingface.co/hexgrad/Kokoro-82M,text-to-speech,2024-12-26,text,text,,Open-weight,,https://huggingface.co/hexgrad/Kokoro-82M,,,"Kokoro-82M is a high-performance open-weight AI model developed by hexgrad, optimized for text-to-speech applications and production workflows.",80
Qwen3.6-35B-A3B-FP8,Qwen3.6,Qwen,https://huggingface.co/Qwen/Qwen3.6-35B-A3B-FP8,image-text-to-text,2026-04-15,text,text,,Open-weight,,https://huggingface.co/Qwen/Qwen3.6-35B-A3B-FP8,,,"Qwen3.6-35B-A3B-FP8 is a high-performance open-weight AI model developed by Qwen, optimized for image-text-to-text applications and production workflows.",80
whisperkit-coreml,whisperkit,argmaxinc,https://huggingface.co/argmaxinc/whisperkit-coreml,automatic-speech-recognition,2024-02-28,text,text,,Open-weight,,https://huggingface.co/argmaxinc/whisperkit-coreml,,,"whisperkit-coreml is a high-performance open-weight AI model developed by argmaxinc, optimized for automatic-speech-recognition applications and production workflows.",80
bge-base-en-v1.5,bge,BAAI,https://huggingface.co/BAAI/bge-base-en-v1.5,feature-extraction,2023-09-11,text,text,,Open-weight,,https://huggingface.co/BAAI/bge-base-en-v1.5,,,"bge-base-en-v1.5 is a high-performance open-weight AI model developed by BAAI, optimized for feature-extraction applications and production workflows.",80
Qwen2.5-7B-Instruct,Qwen2.5,Qwen,https://huggingface.co/Qwen/Qwen2.5-7B-Instruct,text-generation,2024-09-16,text,text,,Open-weight,,https://huggingface.co/Qwen/Qwen2.5-7B-Instruct,,,"Qwen2.5-7B-Instruct is a high-performance open-weight AI model developed by Qwen, optimized for text-generation applications and production workflows.",80
Qwen3.5-9B,Qwen3.5,Qwen,https://huggingface.co/Qwen/Qwen3.5-9B,image-text-to-text,2026-02-27,text,text,,Open-weight,,https://huggingface.co/Qwen/Qwen3.5-9B,,,"Qwen3.5-9B is a high-performance open-weight AI model developed by Qwen, optimized for image-text-to-text applications and production workflows.",80
adetailer,adetailer,Bingsu,https://huggingface.co/Bingsu/adetailer,General ML,2023-04-26,text,text,,Open-weight,,https://huggingface.co/Bingsu/adetailer,,,"adetailer is a high-performance open-weight AI model developed by Bingsu, optimized for General ML applications and production workflows.",80
Qwen3.6-35B-A3B-NVFP4,Qwen3.6,nvidia,https://huggingface.co/nvidia/Qwen3.6-35B-A3B-NVFP4,text-generation,2026-05-27,text,text,,Open-weight,,https://huggingface.co/nvidia/Qwen3.6-35B-A3B-NVFP4,,,"Qwen3.6-35B-A3B-NVFP4 is a high-performance open-weight AI model developed by nvidia, optimized for text-generation applications and production workflows.",80
paraphrase-multilingual-mpnet-base-v2,paraphrase,sentence-transformers,https://huggingface.co/sentence-transformers/paraphrase-multilingual-mpnet-base-v2,sentence-similarity,2022-03-02,text,text,,Open-weight,,https://huggingface.co/sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,,"paraphrase-multilingual-mpnet-base-v2 is a high-performance open-weight AI model developed by sentence-transformers, optimized for sentence-similarity applications and production workflows.",80
gemma-4-26B-A4B-it,gemma,google,https://huggingface.co/google/gemma-4-26B-A4B-it,image-text-to-text,2026-03-11,text,text,,Open-weight,,https://huggingface.co/google/gemma-4-26B-A4B-it,,,"gemma-4-26B-A4B-it is a high-performance open-weight AI model developed by google, optimized for image-text-to-text applications and production workflows.",80
chronos-bolt-small,chronos,amazon,https://huggingface.co/amazon/chronos-bolt-small,time-series-forecasting,2024-11-25,text,text,,Open-weight,,https://huggingface.co/amazon/chronos-bolt-small,,,"chronos-bolt-small is a high-performance open-weight AI model developed by amazon, optimized for time-series-forecasting applications and production workflows.",80
gemma-4-31B-it,gemma,google,https://huggingface.co/google/gemma-4-31B-it,image-text-to-text,2026-03-11,text,text,,Open-weight,,https://huggingface.co/google/gemma-4-31B-it,,,"gemma-4-31B-it is a high-performance open-weight AI model developed by google, optimized for image-text-to-text applications and production workflows.",80
speaker-diarization-3.1,speaker,pyannote,https://huggingface.co/pyannote/speaker-diarization-3.1,automatic-speech-recognition,2023-11-16,text,text,,Open-weight,,https://huggingface.co/pyannote/speaker-diarization-3.1,,,"speaker-diarization-3.1 is a high-performance open-weight AI model developed by pyannote, optimized for automatic-speech-recognition applications and production workflows.",80
Qwen3-Embedding-0.6B,Qwen3,Qwen,https://huggingface.co/Qwen/Qwen3-Embedding-0.6B,feature-extraction,2025-06-03,text,text,,Open-weight,,https://huggingface.co/Qwen/Qwen3-Embedding-0.6B,,,"Qwen3-Embedding-0.6B is a high-performance open-weight AI model developed by Qwen, optimized for feature-extraction applications and production workflows.",80
clip-vit-large-patch14,clip,openai,https://huggingface.co/openai/clip-vit-large-patch14,zero-shot-image-classification,2022-03-02,text,text,,Open-weight,,https://huggingface.co/openai/clip-vit-large-patch14,,,"clip-vit-large-patch14 is a high-performance open-weight AI model developed by openai, optimized for zero-shot-image-classification applications and production workflows.",80
clap-htsat-fused,clap,laion,https://huggingface.co/laion/clap-htsat-fused,audio-classification,2023-02-16,text,text,,Open-weight,,https://huggingface.co/laion/clap-htsat-fused,,,"clap-htsat-fused is a high-performance open-weight AI model developed by laion, optimized for audio-classification applications and production workflows.",80
opt-125m,opt,facebook,https://huggingface.co/facebook/opt-125m,text-generation,2022-05-11,text,text,,Open-weight,,https://huggingface.co/facebook/opt-125m,,,"opt-125m is a high-performance open-weight AI model developed by facebook, optimized for text-generation applications and production workflows.",80
contriever,contriever,facebook,https://huggingface.co/facebook/contriever,General ML,2022-03-02,text,text,,Open-weight,,https://huggingface.co/facebook/contriever,,,"contriever is a high-performance open-weight AI model developed by facebook, optimized for General ML applications and production workflows.",80
Qwen3.8-27B-FP8,Qwen3.8,Qwen,https://huggingface.co/Qwen/Qwen3.8-27B-FP8,image-text-to-text,2026-08-13,text,text,,Open-weight,,https://huggingface.co/Qwen/Qwen3.8-27B-FP8,,,"Qwen3.8-27B-FP8 is a high-performance open-weight AI model developed by Qwen, optimized for image-text-to-text applications and production workflows.",80
Qwen3.8-27B,Qwen3.8,Qwen,https://huggingface.co/Qwen/Qwen3.8-27B,image-text-to-text,2026-08-05,text,text,,Open-weight,,https://huggingface.co/Qwen/Qwen3.8-27B,,,"Qwen3.8-27B is a high-performance open-weight AI model developed by Qwen, optimized for image-text-to-text applications and production workflows.",80
roberta-base,roberta,FacebookAI,https://huggingface.co/FacebookAI/roberta-base,fill-mask,2022-03-02,text,text,,Open-weight,,https://huggingface.co/FacebookAI/roberta-base,,,"roberta-base is a high-performance open-weight AI model developed by FacebookAI, optimized for fill-mask applications and production workflows.",80
Qwen2.5-0.5B-Instruct,Qwen2.5,Qwen,https://huggingface.co/Qwen/Qwen2.5-0.5B-Instruct,text-generation,2024-09-16,text,text,,Open-weight,,https://huggingface.co/Qwen/Qwen2.5-0.5B-Instruct,,,"Qwen2.5-0.5B-Instruct is a high-performance open-weight AI model developed by Qwen, optimized for text-generation applications and production workflows.",80
z_image_turbo,z_image_turbo,Comfy-Org,https://huggingface.co/Comfy-Org/z_image_turbo,General ML,2025-11-26,text,text,,Open-weight,,https://huggingface.co/Comfy-Org/z_image_turbo,,,"z_image_turbo is a high-performance open-weight AI model developed by Comfy-Org, optimized for General ML applications and production workflows.",80
OTel-2.0-LLM-31B-IT,OTel,farbodtavakkoli,https://huggingface.co/farbodtavakkoli/OTel-2.0-LLM-31B-IT,text-generation,2026-07-23,text,text,,Open-weight,,https://huggingface.co/farbodtavakkoli/OTel-2.0-LLM-31B-IT,,,"OTel-2.0-LLM-31B-IT is a high-performance open-weight AI model developed by farbodtavakkoli, optimized for text-generation applications and production workflows.",80
distilbert-base-uncased,distilbert,distilbert,https://huggingface.co/distilbert/distilbert-base-uncased,fill-mask,2022-03-02,text,text,,Open-weight,,https://huggingface.co/distilbert/distilbert-base-uncased,,,"distilbert-base-uncased is a high-performance open-weight AI model developed by distilbert, optimized for fill-mask applications and production workflows.",80
Qwen2.5-VL-7B-Instruct,Qwen2.5,Qwen,https://huggingface.co/Qwen/Qwen2.5-VL-7B-Instruct,image-text-to-text,2025-01-26,text,text,,Open-weight,,https://huggingface.co/Qwen/Qwen2.5-VL-7B-Instruct,,,"Qwen2.5-VL-7B-Instruct is a high-performance open-weight AI model developed by Qwen, optimized for image-text-to-text applications and production workflows.",80
multilingual-e5-base,multilingual,intfloat,https://huggingface.co/intfloat/multilingual-e5-base,sentence-similarity,2023-05-19,text,text,,Open-weight,,https://huggingface.co/intfloat/multilingual-e5-base,,,"multilingual-e5-base is a high-performance open-weight AI model developed by intfloat, optimized for sentence-similarity applications and production workflows.",80
XTTS-v2,XTTS,coqui,https://huggingface.co/coqui/XTTS-v2,text-to-speech,2023-10-31,text,text,,Open-weight,,https://huggingface.co/coqui/XTTS-v2,,,"XTTS-v2 is a high-performance open-weight AI model developed by coqui, optimized for text-to-speech applications and production workflows.",80
Qwen2.5-1.5B-Instruct,Qwen2.5,Qwen,https://huggingface.co/Qwen/Qwen2.5-1.5B-Instruct,text-generation,2024-09-17,text,text,,Open-weight,,https://huggingface.co/Qwen/Qwen2.5-1.5B-Instruct,,,"Qwen2.5-1.5B-Instruct is a high-performance open-weight AI model developed by Qwen, optimized for text-generation applications and production workflows.",80
Qwen3.5-4B,Qwen3.5,Qwen,https://huggingface.co/Qwen/Qwen3.5-4B,image-text-to-text,2026-02-27,text,text,,Open-weight,,https://huggingface.co/Qwen/Qwen3.5-4B,,,"Qwen3.5-4B is a high-performance open-weight AI model developed by Qwen, optimized for image-text-to-text applications and production workflows.",80
Krea-2,Krea,Comfy-Org,https://huggingface.co/Comfy-Org/Krea-2,General ML,2026-06-16,text,text,,Open-weight,,https://huggingface.co/Comfy-Org/Krea-2,,,"Krea-2 is a high-performance open-weight AI model developed by Comfy-Org, optimized for General ML applications and production workflows.",80
multilingual-e5-large,multilingual,intfloat,https://huggingface.co/intfloat/multilingual-e5-large,feature-extraction,2023-06-30,text,text,,Open-weight,,https://huggingface.co/intfloat/multilingual-e5-large,,,"multilingual-e5-large is a high-performance open-weight AI model developed by intfloat, optimized for feature-extraction applications and production workflows.",80
chronos-2-small,chronos,autogluon,https://huggingface.co/autogluon/chronos-2-small,time-series-forecasting,2025-12-03,text,text,,Open-weight,,https://huggingface.co/autogluon/chronos-2-small,,,"chronos-2-small is a high-performance open-weight AI model developed by autogluon, optimized for time-series-forecasting applications and production workflows.",80
Qwen3.6-27B-FP8,Qwen3.6,Qwen,https://huggingface.co/Qwen/Qwen3.6-27B-FP8,image-text-to-text,2026-04-21,text,text,,Open-weight,,https://huggingface.co/Qwen/Qwen3.6-27B-FP8,,,"Qwen3.6-27B-FP8 is a high-performance open-weight AI model developed by Qwen, optimized for image-text-to-text applications and production workflows.",80
whisper-large-v3-turbo,whisper,openai,https://huggingface.co/openai/whisper-large-v3-turbo,automatic-speech-recognition,2024-10-01,text,text,,Open-weight,,https://huggingface.co/openai/whisper-large-v3-turbo,,,"whisper-large-v3-turbo is a high-performance open-weight AI model developed by openai, optimized for automatic-speech-recognition applications and production workflows.",80
gpt-oss-20b,gpt,openai,https://huggingface.co/openai/gpt-oss-20b,text-generation,2025-08-04,text,text,,Open-weight,,https://huggingface.co/openai/gpt-oss-20b,,,"gpt-oss-20b is a high-performance open-weight AI model developed by openai, optimized for text-generation applications and production workflows.",80
roberta-large,roberta,FacebookAI,https://huggingface.co/FacebookAI/roberta-large,fill-mask,2022-03-02,text,text,,Open-weight,,https://huggingface.co/FacebookAI/roberta-large,,,"roberta-large is a high-performance open-weight AI model developed by FacebookAI, optimized for fill-mask applications and production workflows.",80
wespeaker-voxceleb-resnet34-LM,wespeaker,pyannote,https://huggingface.co/pyannote/wespeaker-voxceleb-resnet34-LM,General ML,2023-11-13,text,text,,Open-weight,,https://huggingface.co/pyannote/wespeaker-voxceleb-resnet34-LM,,,"wespeaker-voxceleb-resnet34-LM is a high-performance open-weight AI model developed by pyannote, optimized for General ML applications and production workflows.",80
granite-embedding-small-english-r2,granite,ibm-granite,https://huggingface.co/ibm-granite/granite-embedding-small-english-r2,feature-extraction,2025-07-17,text,text,,Open-weight,,https://huggingface.co/ibm-granite/granite-embedding-small-english-r2,,,"granite-embedding-small-english-r2 is a high-performance open-weight AI model developed by ibm-granite, optimized for feature-extraction applications and production workflows.",80
Llama-3.2-1B-Instruct,Llama,meta-llama,https://huggingface.co/meta-llama/Llama-3.2-1B-Instruct,text-generation,2024-09-18,text,text,,Open-weight,,https://huggingface.co/meta-llama/Llama-3.2-1B-Instruct,,,"Llama-3.2-1B-Instruct is a high-performance open-weight AI model developed by meta-llama, optimized for text-generation applications and production workflows.",80
vit-base-patch16-224,vit,google,https://huggingface.co/google/vit-base-patch16-224,image-classification,2022-03-02,text,text,,Open-weight,,https://huggingface.co/google/vit-base-patch16-224,,,"vit-base-patch16-224 is a high-performance open-weight AI model developed by google, optimized for image-classification applications and production workflows.",80
Qwen3-4B,Qwen3,Qwen,https://huggingface.co/Qwen/Qwen3-4B,text-generation,2025-04-27,text,text,,Open-weight,,https://huggingface.co/Qwen/Qwen3-4B,,,"Qwen3-4B is a high-performance open-weight AI model developed by Qwen, optimized for text-generation applications and production workflows.",80
segmentation-3.0,segmentation,pyannote,https://huggingface.co/pyannote/segmentation-3.0,voice-activity-detection,2023-09-22,text,text,,Open-weight,,https://huggingface.co/pyannote/segmentation-3.0,,,"segmentation-3.0 is a high-performance open-weight AI model developed by pyannote, optimized for voice-activity-detection applications and production workflows.",80
Llama-3.1-8B-Instruct,Llama,meta-llama,https://huggingface.co/meta-llama/Llama-3.1-8B-Instruct,text-generation,2024-07-18,text,text,,Open-weight,,https://huggingface.co/meta-llama/Llama-3.1-8B-Instruct,,,"Llama-3.1-8B-Instruct is a high-performance open-weight AI model developed by meta-llama, optimized for text-generation applications and production workflows.",80
Wan_2.2_ComfyUI_Repackaged,Wan_2.2_ComfyUI_Repackaged,Comfy-Org,https://huggingface.co/Comfy-Org/Wan_2.2_ComfyUI_Repackaged,image-to-video,2025-07-27,text,text,,Open-weight,,https://huggingface.co/Comfy-Org/Wan_2.2_ComfyUI_Repackaged,,,"Wan_2.2_ComfyUI_Repackaged is a high-performance open-weight AI model developed by Comfy-Org, optimized for image-to-video applications and production workflows.",80
wav2vec2-large-xlsr-53-portuguese,wav2vec2,jonatasgrosman,https://huggingface.co/jonatasgrosman/wav2vec2-large-xlsr-53-portuguese,automatic-speech-recognition,2022-03-02,text,text,,Open-weight,,https://huggingface.co/jonatasgrosman/wav2vec2-large-xlsr-53-portuguese,,,"wav2vec2-large-xlsr-53-portuguese is a high-performance open-weight AI model developed by jonatasgrosman, optimized for automatic-speech-recognition applications and production workflows.",80
ms-marco-MiniLM-L4-v2,ms,cross-encoder,https://huggingface.co/cross-encoder/ms-marco-MiniLM-L4-v2,text-ranking,2022-03-02,text,text,,Open-weight,,https://huggingface.co/cross-encoder/ms-marco-MiniLM-L4-v2,,,"ms-marco-MiniLM-L4-v2 is a high-performance open-weight AI model developed by cross-encoder, optimized for text-ranking applications and production workflows.",80
gpt-oss-120b,gpt,openai,https://huggingface.co/openai/gpt-oss-120b,text-generation,2025-08-04,text,text,,Open-weight,,https://huggingface.co/openai/gpt-oss-120b,,,"gpt-oss-120b is a high-performance open-weight AI model developed by openai, optimized for text-generation applications and production workflows.",80
Qwen2.5-3B-Instruct,Qwen2.5,Qwen,https://huggingface.co/Qwen/Qwen2.5-3B-Instruct,text-generation,2024-09-17,text,text,,Open-weight,,https://huggingface.co/Qwen/Qwen2.5-3B-Instruct,,,"Qwen2.5-3B-Instruct is a high-performance open-weight AI model developed by Qwen, optimized for text-generation applications and production workflows.",80
finbert,finbert,ProsusAI,https://huggingface.co/ProsusAI/finbert,text-classification,2022-03-02,text,text,,Open-weight,,https://huggingface.co/ProsusAI/finbert,,,"finbert is a high-performance open-weight AI model developed by ProsusAI, optimized for text-classification applications and production workflows.",80
bge-small-zh-v1.5,bge,BAAI,https://huggingface.co/BAAI/bge-small-zh-v1.5,feature-extraction,2023-09-12,text,text,,Open-weight,,https://huggingface.co/BAAI/bge-small-zh-v1.5,,,"bge-small-zh-v1.5 is a high-performance open-weight AI model developed by BAAI, optimized for feature-extraction applications and production workflows.",80
speaker-diarization-community-1,speaker,pyannote,https://huggingface.co/pyannote/speaker-diarization-community-1,automatic-speech-recognition,2025-04-15,text,text,,Open-weight,,https://huggingface.co/pyannote/speaker-diarization-community-1,,,"speaker-diarization-community-1 is a high-performance open-weight AI model developed by pyannote, optimized for automatic-speech-recognition applications and production workflows.",80
Qwen3-32B,Qwen3,Qwen,https://huggingface.co/Qwen/Qwen3-32B,text-generation,2025-04-27,text,text,,Open-weight,,https://huggingface.co/Qwen/Qwen3-32B,,,"Qwen3-32B is a high-performance open-weight AI model developed by Qwen, optimized for text-generation applications and production workflows.",80
whisper-large-v3,whisper,openai,https://huggingface.co/openai/whisper-large-v3,automatic-speech-recognition,2023-11-07,text,text,,Open-weight,,https://huggingface.co/openai/whisper-large-v3,,,"whisper-large-v3 is a high-performance open-weight AI model developed by openai, optimized for automatic-speech-recognition applications and production workflows.",80
dolphin-2.9.1-yi-1.5-34b,dolphin,dphn,https://huggingface.co/dphn/dolphin-2.9.1-yi-1.5-34b,text-generation,2024-05-18,text,text,,Open-weight,,https://huggingface.co/dphn/dolphin-2.9.1-yi-1.5-34b,,,"dolphin-2.9.1-yi-1.5-34b is a high-performance open-weight AI model developed by dphn, optimized for text-generation applications and production workflows.",80
mdeberta-v3-base,mdeberta,microsoft,https://huggingface.co/microsoft/mdeberta-v3-base,fill-mask,2022-03-02,text,text,,Open-weight,,https://huggingface.co/microsoft/mdeberta-v3-base,,,"mdeberta-v3-base is a high-performance open-weight AI model developed by microsoft, optimized for fill-mask applications and production workflows.",80
Qwen3.8-27B-MLX-4bit,Qwen3.8,lmstudio-community,https://huggingface.co/lmstudio-community/Qwen3.8-27B-MLX-4bit,image-text-to-text,2026-08-14,text,text,,Open-weight,,https://huggingface.co/lmstudio-community/Qwen3.8-27B-MLX-4bit,,,"Qwen3.8-27B-MLX-4bit is a high-performance open-weight AI model developed by lmstudio-community, optimized for image-text-to-text applications and production workflows.",80
gemma-4-E4B-it,gemma,google,https://huggingface.co/google/gemma-4-E4B-it,any-to-any,2026-03-02,text,text,,Open-weight,,https://huggingface.co/google/gemma-4-E4B-it,,,"gemma-4-E4B-it is a high-performance open-weight AI model developed by google, optimized for any-to-any applications and production workflows.",80
ModernBERT-base,ModernBERT,answerdotai,https://huggingface.co/answerdotai/ModernBERT-base,fill-mask,2024-12-11,text,text,,Open-weight,,https://huggingface.co/answerdotai/ModernBERT-base,,,"ModernBERT-base is a high-performance open-weight AI model developed by answerdotai, optimized for fill-mask applications and production workflows.",80
Prompt-Guard-86M,Prompt,meta-llama,https://huggingface.co/meta-llama/Prompt-Guard-86M,text-classification,2024-07-21,text,text,,Open-weight,,https://huggingface.co/meta-llama/Prompt-Guard-86M,,,"Prompt-Guard-86M is a high-performance open-weight AI model developed by meta-llama, optimized for text-classification applications and production workflows.",80
